id,equipment_type,equipment_id,location,complaint,symptoms,diagnosis,root_cause,recommended_fix,estimated_cost,repair_time,urgency,technician_type,date,technician_notes,status
1001,Air Conditioner,AC-002,Computer Lab 2,AC is not cooling properly and is making a loud rattling noise.,"Insufficient cooling, abnormal rattling sound from indoor unit, low airflow",Blower fan motor bearing wear and dust accumulation on evaporator coil,Restricted airflow due to heavy dust accumulation and fan motor bearing degradation,"Clean indoor evaporator coil, inspect blower fan assembly, lubricate/replace bearings",2000,1.7,Medium,HVAC Specialist,2025-12-09,"Coil cleaned with chemical wash, blower fan aligned and balanced. Cooling restored to 18°C.",Resolved
1002,Air Conditioner,AC-006,Chemistry Lab,AC is not cooling properly and is making a loud rattling noise.,"Insufficient cooling, abnormal rattling sound from indoor unit, low airflow",Blower fan motor bearing wear and dust accumulation on evaporator coil,Restricted airflow due to heavy dust accumulation and fan motor bearing degradation,"Clean indoor evaporator coil, inspect blower fan assembly, lubricate/replace bearings",1550,1.5,Medium,HVAC Specialist,2025-07-11,"Coil cleaned with chemical wash, blower fan aligned and balanced. Cooling restored to 18°C.",Resolved
1003,Air Conditioner,AC-039,Chemistry Lab,AC is not cooling properly and is making a loud rattling noise.,"Insufficient cooling, abnormal rattling sound from indoor unit, low airflow",Blower fan motor bearing wear and dust accumulation on evaporator coil,Restricted airflow due to heavy dust accumulation and fan motor bearing degradation,"Clean indoor evaporator coil, inspect blower fan assembly, lubricate/replace bearings",2600,1.7,Medium,HVAC Specialist,2026-08-20,"Coil cleaned with chemical wash, blower fan aligned and balanced. Cooling restored to 18°C.",Resolved
1004,Air Conditioner,AC-027,Chemistry Lab,AC is not cooling properly and is making a loud rattling noise.,"Insufficient cooling, abnormal rattling sound from indoor unit, low airflow",Blower fan motor bearing wear and dust accumulation on evaporator coil,Restricted airflow due to heavy dust accumulation and fan motor bearing degradation,"Clean indoor evaporator coil, inspect blower fan assembly, lubricate/replace bearings",2400,2.1,Medium,HVAC Specialist,2026-02-03,"Coil cleaned with chemical wash, blower fan aligned and balanced. Cooling restored to 18°C.",Verified & Closed
1005,Air Conditioner,AC-045,Computer Lab 3,AC tripping the circuit breaker immediately after turning on compressor.,"Power trip on startup, compressor buzzing sound, no cold air",Compressor run capacitor blown and high starting current,Degraded 45uF starting capacitor causing compressor rotor lock and breaker trip,Replace dual run/start capacitor (45+5 uF) and test compressor winding resistance,1850,1.1,High,HVAC Specialist,2025-07-11,Capacitor replaced. Startup current measured at 9.2A (within safe limit).,Resolved
1006,Air Conditioner,AC-007,Library 2nd Floor,AC tripping the circuit breaker immediately after turning on compressor.,"Power trip on startup, compressor buzzing sound, no cold air",Compressor run capacitor blown and high starting current,Degraded 45uF starting capacitor causing compressor rotor lock and breaker trip,Replace dual run/start capacitor (45+5 uF) and test compressor winding resistance,1950,1.0,High,HVAC Specialist,2026-06-14,Capacitor replaced. Startup current measured at 9.2A (within safe limit).,Verified & Closed
1007,Air Conditioner,AC-003,Admin Block - Room 102,Water leaking continuously from the indoor split AC unit inside lab.,"Water dripping down classroom wall, ice forming on indoor coil",Clogged condensate drain pipe and dirty filter mesh,Algae and dust blockage in drain tray outlet causing overflow,"Clear condensate drain line with nitrogen blow, clean drain pan and filters",1300,0.8,Medium,AC Technician,2025-06-03,Flushed drain pipe. Water drain slope verified with 2L flush test.,Verified & Closed
1008,Air Conditioner,AC-036,Computer Lab 2,Water leaking continuously from the indoor split AC unit inside lab.,"Water dripping down classroom wall, ice forming on indoor coil",Clogged condensate drain pipe and dirty filter mesh,Algae and dust blockage in drain tray outlet causing overflow,"Clear condensate drain line with nitrogen blow, clean drain pan and filters",1400,1.0,Medium,AC Technician,2025-11-20,Flushed drain pipe. Water drain slope verified with 2L flush test.,Verified & Closed
1009,Air Conditioner,AC-013,Dean Office,Water leaking continuously from the indoor split AC unit inside lab.,"Water dripping down classroom wall, ice forming on indoor coil",Clogged condensate drain pipe and dirty filter mesh,Algae and dust blockage in drain tray outlet causing overflow,"Clear condensate drain line with nitrogen blow, clean drain pan and filters",800,1.1,Medium,AC Technician,2026-07-07,Flushed drain pipe. Water drain slope verified with 2L flush test.,Verified & Closed
1010,Air Conditioner,AC-015,Computer Lab 2,Water leaking continuously from the indoor split AC unit inside lab.,"Water dripping down classroom wall, ice forming on indoor coil",Clogged condensate drain pipe and dirty filter mesh,Algae and dust blockage in drain tray outlet causing overflow,"Clear condensate drain line with nitrogen blow, clean drain pan and filters",1150,0.9,Medium,AC Technician,2026-06-05,Flushed drain pipe. Water drain slope verified with 2L flush test.,Resolved
